question_id,image,question,ground_truth,prediction,match_count,vqa_score,infer_time(s)
355569000,COCO_val2014_000000355569.jpg,Is this indoor?,no,No,10,1.0,9.655
499957002,COCO_val2014_000000499957.jpg,What color is the coffee cup?,red,Red,9,1.0,10.291
89804003,COCO_val2014_000000089804.jpg,How many candles?,1,1,10,1.0,10.318
378117002,COCO_val2014_000000378117.jpg,Is there meat in the bowl?,no,No,10,1.0,9.044
34580000,COCO_val2014_000000034580.jpg,What color is the fire hydrant?,red and white,red and white,7,1.0,9.697
191842000,COCO_val2014_000000191842.jpg,What person is on the screen?,man,man,4,1.0,9.813
231408017,COCO_val2014_000000231408.jpg,"Besides white, what other color is this cat?",gray,brown,3,1.0,10.268
568630000,COCO_val2014_000000568630.jpg,What is her hairstyle?,braids,braids,4,1.0,10.671
286322002,COCO_val2014_000000286322.jpg,Is the wine in the glass white?,yes,Yes,8,1.0,9.907
368807002,COCO_val2014_000000368807.jpg,What are the words on the sign?,don't stop drinking,Don't stop drinking,10,1.0,10.054
211891000,COCO_val2014_000000211891.jpg,What is this transport?,train,Train,9,1.0,9.844
391978000,COCO_val2014_000000391978.jpg,Is the TV on or off?,on,On,10,1.0,9.878
443038001,COCO_val2014_000000443038.jpg,What #s do you see?,2,2,8,1.0,9.201
399830007,COCO_val2014_000000399830.jpg,What's on the shelf on the left?,vase,Files,0,0.0,10.204
53909003,COCO_val2014_000000053909.jpg,Is the phone on?,yes,No,0,0.0,9.952
156497014,COCO_val2014_000000156497.jpg,What is this piece of furniture mostly used for?,sitting,coffee table,0,0.0,9.267
225847000,COCO_val2014_000000225847.jpg,Is the window open enough?,yes,Yes,9,1.0,10.028
420914014,COCO_val2014_000000420914.jpg,What is the black item on the right?,chair,Chair,10,1.0,9.605
122213011,COCO_val2014_000000122213.jpg,Is this art?,no,No,8,1.0,9.757
273791001,COCO_val2014_000000273791.jpg,What is the person carrying?,umbrella,umbrella,9,1.0,8.876
324383002,COCO_val2014_000000324383.jpg,Is the cat on a table?,no,No,10,1.0,10.072
379376001,COCO_val2014_000000379376.jpg,Is there a bridge visible?,no,No,10,1.0,10.242
480407014,COCO_val2014_000000480407.jpg,What is the green stuff?,broccoli,Broccoli,10,1.0,10.578
86650012,COCO_val2014_000000086650.jpg,Does the desk belong to a man or a woman?,woman,woman,8,1.0,10.439
358268028,COCO_val2014_000000358268.jpg,Do people usually look so serious when having fun at a game?,no,No,9,1.0,10.185
419867000,COCO_val2014_000000419867.jpg,What store is this taken in?,walmart,Walmart,7,1.0,9.739
580117001,COCO_val2014_000000580117.jpg,What activity are the people involved in?,snowboarding,Skiing,2,0.667,10.24
540619002,COCO_val2014_000000540619.jpg,What is laying on the floor?,cardboard,Cardboard,5,1.0,9.989
577893006,COCO_val2014_000000577893.jpg,What color are the man's shoes?,white,White,8,1.0,8.979
545101007,COCO_val2014_000000545101.jpg,What room is in the photo?,kitchen,Kitchen,9,1.0,9.346
257448002,COCO_val2014_000000257448.jpg,Are the police lights flashing?,no,No,9,1.0,9.803
246124000,COCO_val2014_000000246124.jpg,What is behind the men?,mountain,mountain,7,1.0,9.306
170278000,COCO_val2014_000000170278.jpg,What form of music collection do they have?,cds,CDs,4,1.0,9.985
325043000,COCO_val2014_000000325043.jpg,What color outfit is the woman wearing?,red,Red,9,1.0,9.91
549386001,COCO_val2014_000000549386.jpg,Is it a  sunny day?,yes,Yes,10,1.0,9.181
96110001,COCO_val2014_000000096110.jpg,What is on the hot dogs?,onions,Onions,3,1.0,9.55
329946002,COCO_val2014_000000329946.jpg,Are there any windows?,yes,Yes,10,1.0,9.521
436722001,COCO_val2014_000000436722.jpg,What color is this food?,blue,blue,7,1.0,10.049
343401002,COCO_val2014_000000343401.jpg,What shape is the orange reflector?,triangle,Triangle,10,1.0,10.058
45687006,COCO_val2014_000000045687.jpg,Is the projector on?,no,No,9,1.0,8.506
211203000,COCO_val2014_000000211203.jpg,How many stripes are on the plate?,3,2,0,0.0,9.983
443597006,COCO_val2014_000000443597.jpg,Is this a healthy breakfast?,no,No,10,1.0,10.042
238291000,COCO_val2014_000000238291.jpg,What kind of animal is near the fish tank?,cat,Cat,9,1.0,9.897
55524002,COCO_val2014_000000055524.jpg,What are the columns made of?,marble,marble,10,1.0,9.3
502433007,COCO_val2014_000000502433.jpg,What color is the Frisbee?,yellow,Green,4,1.0,8.674
162144007,COCO_val2014_000000162144.jpg,Is this snow likely man-made?,no,No,9,1.0,9.515
136141001,COCO_val2014_000000136141.jpg,What color are the bananas?,green,Green,9,1.0,9.375
488240007,COCO_val2014_000000488240.jpg,How many times is there?,0,2,1,0.333,9.913
255479003,COCO_val2014_000000255479.jpg,Is this a normal beach scene?,yes,Yes,10,1.0,9.712
167337001,COCO_val2014_000000167337.jpg,Where are the players playing?,baseball,Baseball field,0,0.0,9.446
439593003,COCO_val2014_000000439593.jpg,Are the trains the same color?,yes,Yes,10,1.0,10.176
367673001,COCO_val2014_000000367673.jpg,What is the girl's number?,8,8,10,1.0,10.349
273728005,COCO_val2014_000000273728.jpg,What color is the man's cap?,white,white,5,1.0,10.233
355370002,COCO_val2014_000000355370.jpg,What color is the plane?,white,white,10,1.0,10.174
411241008,COCO_val2014_000000411241.jpg,What's on the laptop that the man is using?,squirrel,cat,0,0.0,10.363
53016001,COCO_val2014_000000053016.jpg,How many giraffes are in this picture?,4,4,9,1.0,9.966
215024005,COCO_val2014_000000215024.jpg,Is the boat docked?,no,No,10,1.0,9.662
118625002,COCO_val2014_000000118625.jpg,Where is the bag?,counter,Counter,5,1.0,9.722
21202002,COCO_val2014_000000021202.jpg,What name is on the street sign?,pacheco,Pacheco,7,1.0,9.701
421757004,COCO_val2014_000000421757.jpg,How many boats do you see in this picture?,2,2,9,1.0,8.773
251892003,COCO_val2014_000000251892.jpg,Is that pretzel bread?,no,No,10,1.0,9.991
545407001,COCO_val2014_000000545407.jpg,What image is on the tail of the plane?,sun,bird,0,0.0,9.269
22775002,COCO_val2014_000000022775.jpg,What color is the bowl?,blue,black,0,0.0,10.206
103490001,COCO_val2014_000000103490.jpg,What is in the glass?,milk,milk,9,1.0,10.684
554620000,COCO_val2014_000000554620.jpg,What is in the girl's hair?,nothing,nothing,3,1.0,8.79
116786002,COCO_val2014_000000116786.jpg,Is this toilet working?,no,No,10,1.0,9.728
69293003,COCO_val2014_000000069293.jpg,Is this an updated bathroom?,yes,No,5,1.0,9.806
240329002,COCO_val2014_000000240329.jpg,What number of boats are floating on this water?,1,1,10,1.0,9.725
414236003,COCO_val2014_000000414236.jpg,Is there cheese in the sandwich?,yes,No,1,0.333,8.83
451324001,COCO_val2014_000000451324.jpg,Is this a restaurant?,no,No,10,1.0,8.705
24112003,COCO_val2014_000000024112.jpg,What is on the man's tie?,diamonds,stripes,0,0.0,9.333
235644002,COCO_val2014_000000235644.jpg,What kind of transportation is this?,train,Train,8,1.0,9.273
514915006,COCO_val2014_000000514915.jpg,What is the dog lying on top of?,floor,tile,1,0.333,9.81
168698001,COCO_val2014_000000168698.jpg,What color is the suitcase?,green,Green,10,1.0,9.365
268620002,COCO_val2014_000000268620.jpg,Is the man asleep?,no,No,9,1.0,9.681
440434005,COCO_val2014_000000440434.jpg,What is the flower pot sitting on?,floor,floor,2,0.667,9.227
222842002,COCO_val2014_000000222842.jpg,Is that a lemon in the glass in the back of the photo?,yes,Yes,10,1.0,8.851
505162004,COCO_val2014_000000505162.jpg,What color is the front of this bus?,red,Red,7,1.0,9.739
575018001,COCO_val2014_000000575018.jpg,How many people are shown?,3,4,2,0.667,8.855
27778000,COCO_val2014_000000027778.jpg,How many are watching the kite?,3,3,8,1.0,9.769
310543002,COCO_val2014_000000310543.jpg,What color is the person's shoes?,black,Black,10,1.0,9.782
27897003,COCO_val2014_000000027897.jpg,Where are the men and women?,train station,Train station,4,1.0,9.836
92738001,COCO_val2014_000000092738.jpg,Can the child  open the appliance door?,yes,Yes,10,1.0,10.255
171740001,COCO_val2014_000000171740.jpg,Is this a basement room?,no,Yes,4,1.0,10.115
282098002,COCO_val2014_000000282098.jpg,Is it sunny or cloudy?,sunny,Sunny,8,1.0,9.883
257767020,COCO_val2014_000000257767.jpg,Is this keyboard for a Mac or a PC?,pc,PC,9,1.0,9.098
34708000,COCO_val2014_000000034708.jpg,Is there a shadow blocking the woman in pink?,no,No,10,1.0,8.666
514901002,COCO_val2014_000000514901.jpg,Are these edibles classic companions?,yes,Yes,10,1.0,10.204
424793006,COCO_val2014_000000424793.jpg,What animal is this?,bird,bird,8,1.0,9.847
408221001,COCO_val2014_000000408221.jpg,What color is the nearest animal?,brown,brown,10,1.0,9.795
209239003,COCO_val2014_000000209239.jpg,Do you see a fan?,no,no,10,1.0,9.518
50829081,COCO_val2014_000000050829.jpg,How many toothpicks are in the sandwich?,2,2,10,1.0,9.784
221272003,COCO_val2014_000000221272.jpg,What are the yellow and orange objects the children are wearing?,pants,pants,3,1.0,9.563
405740017,COCO_val2014_000000405740.jpg,Is the laptop on?,yes,Yes,9,1.0,9.864
457271001,COCO_val2014_000000457271.jpg,Does the baby like the horse?,yes,Yes,10,1.0,9.646
173830002,COCO_val2014_000000173830.jpg,What purpose does this person's stance serve?,speed,Balance,0,0.0,8.74
526737002,COCO_val2014_000000526737.jpg,Does the fireplace work?,yes,Yes,9,1.0,8.976
343466004,COCO_val2014_000000343466.jpg,What color are the cabinets?,brown,Tan,4,1.0,9.28
502336002,COCO_val2014_000000502336.jpg,What language is this?,german,German,5,1.0,9.826
474170004,COCO_val2014_000000474170.jpg,What kind of tree on the left side of page?,green,Oak,1,0.333,9.822
17484000,COCO_val2014_000000017484.jpg,Does the girl have a tattoo?,yes,Yes,9,1.0,9.642
249672005,COCO_val2014_000000249672.jpg,Can you see the sun?,yes,Yes,9,1.0,9.922
486118004,COCO_val2014_000000486118.jpg,How many fingers is each girl holding up?,2,"2, 1, 2, 2, 2",0,0.0,9.593
549518002,COCO_val2014_000000549518.jpg,What are the yellow fruits?,bananas,Bananas,6,1.0,9.09
571279002,COCO_val2014_000000571279.jpg,Is the food on the plate or in a serving tray?,serving tray,Serving tray,8,1.0,10.254
297574001,COCO_val2014_000000297574.jpg,How many slices of pizza are on the plate?,8,6,0,0.0,9.481
357279002,COCO_val2014_000000357279.jpg,What kind of print is on the snowboarders pants?,camouflage,Camouflage,5,1.0,10.107
529507002,COCO_val2014_000000529507.jpg,Is there a window in the room?,yes,Yes,10,1.0,9.001
200381018,COCO_val2014_000000200381.jpg,Are they happy?,yes,No,4,1.0,10.441
568041003,COCO_val2014_000000568041.jpg,How many lights are on the fixture in the corner that is on?,1,1,9,1.0,10.216
46859003,COCO_val2014_000000046859.jpg,Is the gentlemen batting wearing cleats?,yes,Yes,5,1.0,10.003
158498003,COCO_val2014_000000158498.jpg,What is in the mug?,orange juice,Juice,0,0.0,9.832
508006002,COCO_val2014_000000508006.jpg,Is the cake on fire?,no,No,9,1.0,9.979
211317002,COCO_val2014_000000211317.jpg,Are the giraffe related to each other?,yes,Yes,9,1.0,9.913
347664005,COCO_val2014_000000347664.jpg,What is the weather?,cloudy,Sunny,2,0.667,10.292
268484001,COCO_val2014_000000268484.jpg,Is this daytime or night time?,daytime,Daytime,6,1.0,9.415
262101000,COCO_val2014_000000262101.jpg,Why is her mouth open?,smiling,Smiling,8,1.0,8.985
386204026,COCO_val2014_000000386204.jpg,What color is the girls outfit?,gray,black,0,0.0,9.832
212351003,COCO_val2014_000000212351.jpg,What is in the sky?,plane,airplane,3,1.0,10.09
336356002,COCO_val2014_000000336356.jpg,Is the pizza sliced?,no,No,9,1.0,10.154
470417002,COCO_val2014_000000470417.jpg,How many surfers are there?,2,2,10,1.0,10.054
132317001,COCO_val2014_000000132317.jpg,What numbers are on the top of the computer screen?,1126,11:26,1,0.333,9.86
31748002,COCO_val2014_000000031748.jpg,Is this street pedestrian friendly?,yes,Yes,8,1.0,9.551
42752001,COCO_val2014_000000042752.jpg,Why is he wearing a scarf?,cold,Cold,4,1.0,10.364
290532000,COCO_val2014_000000290532.jpg,Where is the post it note?,none,on monitor,0,0.0,9.95
133620003,COCO_val2014_000000133620.jpg,Is the woman happy?,yes,Yes,10,1.0,9.405
15826000,COCO_val2014_000000015826.jpg,How many people have theirs shirts off?,3,2,1,0.333,9.848
98872006,COCO_val2014_000000098872.jpg,What is in her right hand?,beer,Can,3,1.0,9.794
13031001,COCO_val2014_000000013031.jpg,What shape is the water splash making in the air?,circle,Circle,8,1.0,10.194
392632004,COCO_val2014_000000392632.jpg,What number is on the mans jersey?,23,23,10,1.0,9.297
513064006,COCO_val2014_000000513064.jpg,Is this room clean?,no,No,8,1.0,9.51
468997003,COCO_val2014_000000468997.jpg,Is there an insurance ad?,no,No,9,1.0,9.995
273711006,COCO_val2014_000000273711.jpg,What kind of fruit?,grapes,Watermelon,2,0.667,9.723
166896002,COCO_val2014_000000166896.jpg,Is there coal on the train?,yes,Yes,10,1.0,9.917
61722000,COCO_val2014_000000061722.jpg,Is the child sitting or standing?,standing,standing,8,1.0,9.706
515421006,COCO_val2014_000000515421.jpg,Where is the dog?,bed,bed,7,1.0,9.047
531499001,COCO_val2014_000000531499.jpg,What color are the cabinets?,brown,white,2,0.667,9.599
318722001,COCO_val2014_000000318722.jpg,Is the oven light on?,no,No,10,1.0,9.462
192362001,COCO_val2014_000000192362.jpg,What type of trees are in this picture?,pine,Pine,7,1.0,10.095
581886001,COCO_val2014_000000581886.jpg,What is on the beach?,surfers,Surfboards.,0,0.0,9.159
569850009,COCO_val2014_000000569850.jpg,Can you park here?,yes,No,3,1.0,9.561
404568012,COCO_val2014_000000404568.jpg,What species is this bird?,seagull,Seagull,6,1.0,9.999
526580033,COCO_val2014_000000526580.jpg,Are there plants in this picture?,no,No,10,1.0,10.001
249524009,COCO_val2014_000000249524.jpg,Does this look like a lonely bench?,yes,Yes,5,1.0,10.069
427135009,COCO_val2014_000000427135.jpg,Are they playing indoors?,no,No,9,1.0,9.794
441430001,COCO_val2014_000000441430.jpg,What color are the bananas?,green,green,8,1.0,10.119
305351003,COCO_val2014_000000305351.jpg,Which way is the giraffe pointing?,left,Left,8,1.0,10.16
196313001,COCO_val2014_000000196313.jpg,Do these people look like they are having a good time?,yes,Yes,10,1.0,9.694
576566001,COCO_val2014_000000576566.jpg,What time of day is it?,dusk,Evening,1,0.333,10.14
182784000,COCO_val2014_000000182784.jpg,Can I buy water here?,yes,Yes,10,1.0,9.197
21563010,COCO_val2014_000000021563.jpg,How many slices of pizza are left uneaten?,8,8,10,1.0,9.545
101985008,COCO_val2014_000000101985.jpg,What type of sport are they playing?,soccer,Soccer,10,1.0,9.845
535198002,COCO_val2014_000000535198.jpg,What color is the sky tinted?,blue,Teal,1,0.333,10.106
30356005,COCO_val2014_000000030356.jpg,What pattern is shown in the cat's fur?,stripes,striped,2,0.667,9.798
477598000,COCO_val2014_000000477598.jpg,How are the ears?,floppy,Floppy,5,1.0,9.11
479350000,COCO_val2014_000000479350.jpg,Does all of the girls have ponytails?,no,No,10,1.0,9.738
474170016,COCO_val2014_000000474170.jpg,What animals are in the picture?,elephants,Elephants,8,1.0,8.706
263346001,COCO_val2014_000000263346.jpg,Is this plane flying?,no,No,10,1.0,8.806
418281003,COCO_val2014_000000418281.jpg,Are there any bulls visible?,yes,Yes,7,1.0,9.07
531917003,COCO_val2014_000000531917.jpg,What color are the plants?,green,green,9,1.0,9.715
453026010,COCO_val2014_000000453026.jpg,What are those circles?,cupcakes,Muffins,4,1.0,9.538
361819000,COCO_val2014_000000361819.jpg,How many people are shown?,20,15,0,0.0,10.637
344029008,COCO_val2014_000000344029.jpg,What number is displayed on the bus?,401,401E,0,0.0,10.084
21396001,COCO_val2014_000000021396.jpg,"If someone were to begin stroking these cats, what is a sound they might start making?",purr,Purr,6,1.0,9.785
370999002,COCO_val2014_000000370999.jpg,What do the objects all have in common?,circles,Holes,0,0.0,9.41
177258001,COCO_val2014_000000177258.jpg,Why did the people walk away from their meal?,not hungry,Cat,1,0.333,10.069
17282005,COCO_val2014_000000017282.jpg,What is the fence made of?,metal,metal,7,1.0,10.443
506085011,COCO_val2014_000000506085.jpg,What does the sign say right behind the man?,picture,No sign,0,0.0,9.793
71877000,COCO_val2014_000000071877.jpg,What activity is he doing?,skateboarding,Skateboarding,9,1.0,9.621
442231005,COCO_val2014_000000442231.jpg,Where are the paper plates?,table,On table,4,1.0,9.797
221003007,COCO_val2014_000000221003.jpg,What material is the wall made of?,brick,Brick,9,1.0,8.901
540694001,COCO_val2014_000000540694.jpg,What color is the car the giraffe is touching?,blue,Blue,10,1.0,9.798
274613003,COCO_val2014_000000274613.jpg,Is the tree falling down?,yes,Yes,7,1.0,9.666
156999001,COCO_val2014_000000156999.jpg,Is the giraffes neck bent?,yes,Yes,10,1.0,9.665
186991002,COCO_val2014_000000186991.jpg,Is there a pond in the background?,yes,No,4,1.0,9.736
93672011,COCO_val2014_000000093672.jpg,What color is the statue?,clear,Gray,2,0.667,9.591
118564006,COCO_val2014_000000118564.jpg,Is a skateboarder jumping down steps?,no,No,10,1.0,10.133
575911000,COCO_val2014_000000575911.jpg,What color is the animal?,orange,Orange,3,1.0,9.32
34662002,COCO_val2014_000000034662.jpg,In what section of the picture are the sheep located?,upper right,Center,0,0.0,9.786
165937002,COCO_val2014_000000165937.jpg,How many planes are on the runway?,2,2,9,1.0,9.782
465887002,COCO_val2014_000000465887.jpg,Is this person flying a kite?,yes,Yes,10,1.0,8.576
532212000,COCO_val2014_000000532212.jpg,What color are the flowers?,red and white,Red and white,3,1.0,10.12
78522001,COCO_val2014_000000078522.jpg,What color is the grass?,green,green,10,1.0,9.797
450355004,COCO_val2014_000000450355.jpg,Is this person an adult?,yes,Yes,10,1.0,9.654
120632011,COCO_val2014_000000120632.jpg,Are trees visible?,no,No,10,1.0,10.068
341681004,COCO_val2014_000000341681.jpg,What color are the player's shorts?,black,black,9,1.0,9.83
570736005,COCO_val2014_000000570736.jpg,Can a person bathe in this room?,yes,Yes,10,1.0,9.433
218988003,COCO_val2014_000000218988.jpg,How much longer does the microwave have?,0:00,0:00,6,1.0,8.459
169855000,COCO_val2014_000000169855.jpg,Is this bird large?,no,No,10,1.0,9.974
218494000,COCO_val2014_000000218494.jpg,How many laptop computers are on the table?,1,1,10,1.0,9.679
167964002,COCO_val2014_000000167964.jpg,How many street signs are on the road?,1,1,4,1.0,9.845
494439001,COCO_val2014_000000494439.jpg,What is the train riding on?,tracks,tracks,7,1.0,9.364
546226002,COCO_val2014_000000546226.jpg,What time is it?,9:00,1:50,0,0.0,10.082
375015004,COCO_val2014_000000375015.jpg,How many bears are in the picture?,1,1,10,1.0,9.077
434672003,COCO_val2014_000000434672.jpg,What is the title of the book?,blonde,Blonde,10,1.0,9.676
296243001,COCO_val2014_000000296243.jpg,What is above the car?,surfboards,surfboards,8,1.0,9.484
382307013,COCO_val2014_000000382307.jpg,What is the reflection on the TV coming from?,light,room,0,0.0,9.461
115618003,COCO_val2014_000000115618.jpg,What is on the ground?,snow,Snow,10,1.0,9.82
225784001,COCO_val2014_000000225784.jpg,Does the bike have a kickstand?,yes,Yes,10,1.0,9.278
567142005,COCO_val2014_000000567142.jpg,Is the woman blonde?,no,no,10,1.0,9.506
484331004,COCO_val2014_000000484331.jpg,What is the kid holding?,bat,bat,9,1.0,9.15
252629005,COCO_val2014_000000252629.jpg,What is the fruit called that is on the cake?,strawberry,Strawberry,8,1.0,8.885
168991000,COCO_val2014_000000168991.jpg,What color is the girl's shirt?,white,white,9,1.0,9.553
352584000,COCO_val2014_000000352584.jpg,What color are the walls?,white,White,5,1.0,10.104
544639005,COCO_val2014_000000544639.jpg,Would this be a baby zebra?,no,No,9,1.0,9.495
232612002,COCO_val2014_000000232612.jpg,What is she eating?,cinnamon roll,donut,1,0.333,9.827
34193005,COCO_val2014_000000034193.jpg,Has this type of creature ever really existed?,yes,Yes,10,1.0,10.201
372914008,COCO_val2014_000000372914.jpg,Is the street wet?,no,No,10,1.0,9.084
169076000,COCO_val2014_000000169076.jpg,Where is this picture taken?,bedroom,Living room,1,0.333,10.355
148719002,COCO_val2014_000000148719.jpg,What color is the dodge truck?,red,Orange,1,0.333,10.15
342295001,COCO_val2014_000000342295.jpg,What color is the floor?,white,White,4,1.0,9.86
85940005,COCO_val2014_000000085940.jpg,Is this kitchen clean or dirty?,clean,Clean,9,1.0,8.71
214527029,COCO_val2014_000000214527.jpg,What day is it?,sunday,Monday,0,0.0,10.266
158182003,COCO_val2014_000000158182.jpg,Is there a bookstore nearby?,no,No,10,1.0,9.481
359947004,COCO_val2014_000000359947.jpg,Was this picture taken with a camera phone?,no,Yes,0,0.0,9.417
414917003,COCO_val2014_000000414917.jpg,Is it raining outside?,no,No,10,1.0,8.85
424812002,COCO_val2014_000000424812.jpg,Is it daytime?,yes,No,4,1.0,8.926
469294004,COCO_val2014_000000469294.jpg,Are the oranges ripe?,yes,Yes,9,1.0,10.069
93806002,COCO_val2014_000000093806.jpg,Are these two accomplishes skiers?,yes,Yes,9,1.0,9.913
448511007,COCO_val2014_000000448511.jpg,Is that a fork or a spoon?,fork,Fork,10,1.0,9.412
44575003,COCO_val2014_000000044575.jpg,What game are they playing?,tee ball,Baseball,1,0.333,9.584
71090004,COCO_val2014_000000071090.jpg,Who is squeeze in between the big bear?,cat,Cat,9,1.0,9.199
152106004,COCO_val2014_000000152106.jpg,Is this a petting zoo?,no,No,10,1.0,9.457
460783001,COCO_val2014_000000460783.jpg,What are the bananas sitting in?,bowl,Bowl,9,1.0,9.461
256787002,COCO_val2014_000000256787.jpg,Is this dog dressed in a way that is typical for dogs?,no,No,10,1.0,9.259
374734011,COCO_val2014_000000374734.jpg,How many people are in this picture?,1,1,10,1.0,8.637
500716001,COCO_val2014_000000500716.jpg,Is this person clean shaven?,no,No,10,1.0,9.43
137271001,COCO_val2014_000000137271.jpg,Are the two men under the blue kite wearing clothes?,yes,Yes,5,1.0,9.503
451373009,COCO_val2014_000000451373.jpg,Is this where freddy lives?,no,No,8,1.0,9.531
526751005,COCO_val2014_000000526751.jpg,Where are the boats?,land,shore,2,0.667,9.528
116133001,COCO_val2014_000000116133.jpg,What type of beverage are the people waiting to drink?,wine,Wine,10,1.0,9.934
175604010,COCO_val2014_000000175604.jpg,What's in the cup?,coffee,Coffee,8,1.0,10.306
239148000,COCO_val2014_000000239148.jpg,Is the ground covered with grass?,no,No,10,1.0,9.482
413058004,COCO_val2014_000000413058.jpg,How many laptop computers are on the table?,2,2,10,1.0,9.984
80010001,COCO_val2014_000000080010.jpg,How many men can be seen?,4,4,10,1.0,9.29
287535000,COCO_val2014_000000287535.jpg,What does the sign say to do?,no u turn,No u-turn,2,0.667,10.111
418535003,COCO_val2014_000000418535.jpg,What color bag does he have in his hand?,red,Red,8,1.0,8.763
83013002,COCO_val2014_000000083013.jpg,How many people are in the picture?,2,2,10,1.0,9.739
143221002,COCO_val2014_000000143221.jpg,Is the elephant in the wild?,no,No,9,1.0,9.715
282719002,COCO_val2014_000000282719.jpg,Are the curtains all one color?,no,No,9,1.0,9.469
558388000,COCO_val2014_000000558388.jpg,Who made the birthday cake?,mom,Baker,0,0.0,9.98
278934001,COCO_val2014_000000278934.jpg,What does the sign say?,stop,Stop,10,1.0,9.674
388225000,COCO_val2014_000000388225.jpg,Does the man have glasses on?,yes,Yes,9,1.0,9.008
542257003,COCO_val2014_000000542257.jpg,Can a person ride this train?,yes,Yes,9,1.0,9.922
198768004,COCO_val2014_000000198768.jpg,What is this man thinking about?,winning,Game strategy,0,0.0,9.692
554981000,COCO_val2014_000000554981.jpg,Is that water or grass?,grass,water,0,0.0,9.462
262626001,COCO_val2014_000000262626.jpg,Is the kitty on the umbrella?,no,no,10,1.0,8.941
376295016,COCO_val2014_000000376295.jpg,How many candles are in the picture?,1,1,10,1.0,8.972
324321000,COCO_val2014_000000324321.jpg,What color is the bus?,white,White,10,1.0,9.751
69914006,COCO_val2014_000000069914.jpg,What color is the wall in the background?,white,white,4,1.0,9.67
362521000,COCO_val2014_000000362521.jpg,Which way is Niles Cyn?,right,Right,8,1.0,8.78
382333003,COCO_val2014_000000382333.jpg,Is there a house on the photo?,no,no,10,1.0,9.837
214386004,COCO_val2014_000000214386.jpg,Is this likely the apartment of an elderly person?,no,No,8,1.0,9.476
555669009,COCO_val2014_000000555669.jpg,Are the girl's eyes open or closed?,closed,Closed,10,1.0,10.232
64523000,COCO_val2014_000000064523.jpg,Is this black and white?,yes,Yes,10,1.0,8.966
91715010,COCO_val2014_000000091715.jpg,"On average, how many people can commute on this vehicle?",2,10,0,0.0,9.263
201561027,COCO_val2014_000000201561.jpg,What color shirt is the person who is going to catch the Frisbee wearing?,black,black,8,1.0,9.435
69698003,COCO_val2014_000000069698.jpg,How many slices are there?,1,1,10,1.0,10.402
105053006,COCO_val2014_000000105053.jpg,Is this a beginner skier?,no,No,10,1.0,9.896
382625005,COCO_val2014_000000382625.jpg,Is there a bicycle?,no,no,10,1.0,9.607
24919007,COCO_val2014_000000024919.jpg,Are the animals fighting?,yes,No,2,0.667,9.814
454348001,COCO_val2014_000000454348.jpg,Are there any people around?,no,No,10,1.0,9.777
288579007,COCO_val2014_000000288579.jpg,Is it a sunny day?,yes,Yes,10,1.0,9.803
443498000,COCO_val2014_000000443498.jpg,How busy was this street an hour ago?,very,not busy,2,0.667,9.709
235017002,COCO_val2014_000000235017.jpg,What color is the skirt?,yellow,Yellow,7,1.0,9.653
356414002,COCO_val2014_000000356414.jpg,What color are the chairs people are sitting in?,green,green,10,1.0,9.747
522889000,COCO_val2014_000000522889.jpg,What is the number lit up under the 3 letters I B M?,182,142,0,0.0,9.733
